title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Spider-Man: Into the Spider-Verse,2018,"Rodney Rothman,Peter Ramsey,Bob Persichetti",117,471056,231832,4.4,275,585,330,1923,2178,13916,22153,84260,70990,150869
Alien,1979,Ridley Scott,117,379337,130733,4.3,145,442,299,1974,1961,13690,17632,60239,38044,81236
Captain Marvel,2019,"Ryan Fleck,Anna Boden",124,337033,77294,3.2,2696,5803,5852,22166,25424,59095,43511,42337,9313,16662
Captain America: The Winter Soldier,2014,"Anthony Russo,Joe Russo",136,479385,128919,3.8,803,2739,1700,10378,10092,42585,40745,77448,30175,40600
Guardians of the Galaxy Vol. 2,2017,James Gunn,137,477059,131595,3.6,1031,3076,2661,14156,16423,61710,56068,79567,20530,27144
Spider-Man: Far from Home,2019,Jon Watts,129,313278,91879,3.6,676,1576,1847,8127,13393,43816,49976,63425,17910,19179
Rogue One: A Star Wars Story,2016,Gareth Edwards,133,443393,123256,3.6,1248,3968,3353,15121,15911,50887,48221,78469,24437,30301
Logan,2017,James Mangold,137,420281,146544,4.0,358,1164,801,5024,5140,26903,33581,88935,45787,58556
The Martian,2015,Ridley Scott,141,481123,130563,3.7,478,1716,1393,8643,9922,49769,51646,94779,25740,29864
The Empire Strikes Back,1980,Irvin Kershner,124,506762,180467,4.4,228,473,268,1861,2023,15036,16978,62922,44127,127552
Blade Runner,1982,Ridley Scott,118,388172,130523,4.1,378,1319,932,5151,5509,22459,25229,63974,36076,70686
Star Wars: The Rise of Skywalker,2019,J.J. Abrams,142,285492,51249,2.8,5317,11630,13184,34138,32039,49582,29712,26714,6433,8145
2001: A Space Odyssey,1968,Stanley Kubrick,149,339349,117398,4.3,767,1662,863,3863,2860,12669,12115,38334,28574,94504
Aliens,1986,James Cameron,137,227359,67205,4.1,132,353,383,1869,2351,10749,14484,37786,22687,34706
Ex Machina,2014,Alex Garland,108,411674,137508,4.0,306,1028,719,4713,4798,27108,34967,93596,43661,45849
Bird Box,2018,Susanne Bier,124,256673,36249,2.9,2942,8093,7510,22301,21908,46247,26875,22858,3858,6270
Terminator 2: Judgment Day,1991,James Cameron,156,268780,77191,4.2,137,353,254,1812,1946,11120,13982,40298,26341,42377
Okja,2017,Bong Joon-ho,122,173396,43981,3.7,308,898,781,3728,5109,19110,26272,37834,11563,10081
The Matrix,1999,"Lilly Wachowski,Lana Wachowski",136,509860,151854,4.1,361,1146,780,4420,4298,24778,28324,81463,41989,75087
Under the Skin,2013,Jonathan Glazer,108,149538,39907,3.7,900,2000,1430,4913,4650,13212,14743,25722,13582,14295
Venom,2018,Ruben Fleischer,112,214030,36813,2.8,3193,8484,9147,23380,22463,36724,18765,14651,2495,5244
X-Men: Days of Future Past,2014,Bryan Singer,131,335962,69395,3.6,583,1917,1545,8261,9057,34940,34301,50279,15114,12708
A.I. Artificial Intelligence,2001,Steven Spielberg,146,141848,21573,3.4,379,1065,985,4388,4800,14195,12769,14825,4948,5704
10 Cloverfield Lane,2016,Dan Trachtenberg,104,253894,63091,3.6,478,1413,1053,5598,6695,30081,37361,52614,14006,9544
The Fly,1986,David Cronenberg,96,120603,30625,3.9,109,272,237,1262,1577,7644,11289,23258,9601,9900
The Maze Runner,2014,Wes Ball,113,196326,22592,3.0,1017,3088,3150,10567,11579,25962,15785,12988,2209,4810
The Lost World: Jurassic Park,1997,Steven Spielberg,129,196400,21858,3.0,422,1641,2309,10670,12427,27176,14222,11087,1750,3025
Star Trek Beyond,2016,Justin Lin,122,138886,24990,3.3,255,965,1070,5061,7169,22163,20000,17612,3238,3198
